world_joint/x,world_joint/y,world_joint/z,world_joint/yaw,world_joint/pitch,world_joint/roll,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.109398,-0.988528,0.901191,-0.202718,0.993326,-0.017673,1.148385,-1.109978,1.000000
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.098141,-1.008639,0.888506,-0.194542,0.973875,-0.013140,1.172121,-1.127654,0.980357
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.105013,-0.991426,0.873978,-0.196377,0.980434,-0.021779,1.185572,-1.112171,0.960714
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.110391,-0.975905,0.858179,-0.197063,0.984822,-0.029808,1.201687,-1.098146,0.941071
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.114290,-0.962194,0.841190,-0.196637,0.986987,-0.037202,1.220346,-1.085698,0.921429
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.116730,-0.950412,0.823105,-0.195143,0.986889,-0.043933,1.241427,-1.074941,0.901786
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.117730,-0.940682,0.804025,-0.192628,0.984490,-0.049966,1.264803,-1.065983,0.882143
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.117309,-0.933125,0.784061,-0.189147,0.979760,-0.055262,1.290348,-1.058926,0.862500
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.115487,-0.927865,0.763330,-0.184754,0.972673,-0.059775,1.317938,-1.053861,0.842857
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.112288,-0.925024,0.741959,-0.179508,0.963208,-0.063455,1.347455,-1.050874,0.823214
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.107733,-0.924728,0.720080,-0.173470,0.951344,-0.066241,1.378788,-1.050040,0.803571
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.101846,-0.927104,0.697832,-0.166696,0.937061,-0.068067,1.411836,-1.051424,0.783929
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.094650,-0.932285,0.675362,-0.159245,0.920336,-0.068855,1.446511,-1.055082,0.764286
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.086169,-0.940414,0.652823,-0.151167,0.901140,-0.068518,1.482743,-1.061054,0.744643
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.076422,-0.951642,0.630377,-0.142509,0.879438,-0.066955,1.520479,-1.069368,0.725000
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.065430,-0.966138,0.608193,-0.133306,0.855182,-0.064051,1.559690,-1.080036,0.705357
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.053205,-0.984090,0.586449,-0.123578,0.828309,-0.059672,1.600376,-1.093050,0.685714
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.039754,-1.005716,0.565332,-0.113330,0.798737,-0.053661,1.642568,-1.108381,0.666071
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.025069,-1.031272,0.545039,-0.102538,0.766359,-0.045835,1.686336,-1.125973,0.646429
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,-0.009124,-1.061064,0.525774,-0.091145,0.731035,-0.035972,1.731799,-1.145743,0.626786
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.008134,-1.095476,0.507751,-0.079047,0.692583,-0.023802,1.779133,-1.167572,0.607143
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.026803,-1.135001,0.491187,-0.066069,0.650767,-0.008982,1.828595,-1.191301,0.587500
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.047049,-1.180299,0.476303,-0.051936,0.605276,0.008936,1.880546,-1.216722,0.567857
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.069145,-1.232309,0.463322,-0.036215,0.555690,0.030573,1.935506,-1.243568,0.548214
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.093548,-1.292441,0.452454,-0.018206,0.501435,0.056835,1.994231,-1.271489,0.528571
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.121049,-1.362998,0.443889,0.003282,0.441687,0.089155,2.057890,-1.300013,0.508929
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.153151,-1.448213,0.437752,0.030509,0.375207,0.130079,2.128456,-1.328443,0.489286
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.193007,-1.556995,0.433868,0.068425,0.300310,0.184668,2.209478,-1.355643,0.469643
-0.000000,0.850000,0.000000,-1.570796,-0.000000,0.000000,0.249495,-1.714914,0.430153,0.131931,0.216487,0.266176,2.308628,-1.379351,0.450000
