world_joint/x,world_joint/y,world_joint/theta,base_link_z_joint,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
-0.387146,1.039408,-1.188774,0.000000,0.596672,-1.229516,0.919692,1.748669,0.555890,2.270555,-1.318849,1.134144,1.000000
-0.387146,1.039408,-1.188774,0.000000,0.637183,-1.294110,0.892115,1.829962,0.543467,2.274772,-1.359671,1.121866,0.969444
-0.387146,1.039408,-1.188774,0.000000,0.589394,-1.243638,0.905200,1.762425,0.552855,2.271143,-1.345419,1.136918,0.938889
-0.387146,1.039408,-1.188774,0.000000,0.548744,-1.204284,0.914661,1.709167,0.562152,2.268234,-1.336576,1.152775,0.908333
-0.387146,1.039408,-1.188774,0.000000,0.513902,-1.173414,0.920581,1.667099,0.570907,2.266000,-1.332481,1.168580,0.877778
-0.387146,1.039408,-1.188774,0.000000,0.484091,-1.149436,0.923078,1.634409,0.578813,2.264366,-1.332691,1.183785,0.847222
-0.387146,1.039408,-1.188774,0.000000,0.458827,-1.131335,0.922282,1.609964,0.585622,2.263251,-1.336887,1.198011,0.816667
-0.387146,1.039408,-1.188774,0.000000,0.437814,-1.118461,0.918314,1.593050,0.591102,2.262580,-1.344839,1.210976,0.786111
-0.387146,1.039408,-1.188774,0.000000,0.420889,-1.110422,0.911279,1.583245,0.595008,2.262280,-1.356395,1.222460,0.755556
-0.387146,1.039408,-1.188774,0.000000,0.407996,-1.107022,0.901256,1.580354,0.597071,2.262281,-1.371470,1.232286,0.725000
-0.387146,1.039408,-1.188774,0.000000,0.399175,-1.108242,0.888295,1.584388,0.596982,2.262509,-1.390048,1.240307,0.694444
-0.387146,1.039408,-1.188774,0.000000,0.394574,-1.114238,0.872396,1.595581,0.594381,2.262886,-1.412194,1.246400,0.663889
-0.387146,1.039408,-1.188774,0.000000,0.394467,-1.125391,0.853489,1.614456,0.588841,2.263316,-1.438073,1.250464,0.633333
-0.387146,1.039408,-1.188774,0.000000,0.399310,-1.142401,0.831396,1.641953,0.579848,2.263674,-1.467991,1.252435,0.602778
-0.387146,1.039408,-1.188774,0.000000,0.409842,-1.166500,0.805766,1.679715,0.566781,2.263784,-1.502467,1.252313,0.572222
-0.387146,1.039408,-1.188774,0.000000,0.427279,-1.199917,0.775965,1.730694,0.548913,2.263364,-1.542358,1.250264,0.541667
-0.387146,1.039408,-1.188774,0.000000,0.453783,-1.247088,0.740865,1.800704,0.525529,2.261894,-1.589128,1.246933,0.511111
-0.387146,1.039408,-1.188774,0.000000,0.493338,-1.317823,0.698727,1.902501,0.497051,2.258171,-1.645102,1.244705,0.480556
-0.387146,1.039408,-1.188774,0.000000,0.554003,-1.438069,0.648764,2.070679,0.471879,2.248021,-1.712921,1.253827,0.450000
