world_joint/x,world_joint/y,world_joint/z,world_joint/yaw,world_joint/pitch,world_joint/roll,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.106584,-0.743112,0.746910,-0.331969,1.396915,0.006567,0.600055,-0.930773,1.000000
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.107611,-0.761554,0.740545,-0.327102,1.383270,0.008896,0.616318,-0.949321,0.981034
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.109566,-0.740326,0.718042,-0.334716,1.390900,-0.001839,0.635559,-0.932472,0.962069
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.111149,-0.720547,0.694855,-0.341395,1.396500,-0.012585,0.657006,-0.916974,0.943103
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.112396,-0.702389,0.671158,-0.347083,1.400012,-0.023251,0.680504,-0.902972,0.924138
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.113334,-0.686008,0.647123,-0.351742,1.401400,-0.033729,0.705882,-0.890609,0.905172
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.113984,-0.671546,0.622918,-0.355350,1.400651,-0.043894,0.732961,-0.880024,0.886207
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.114362,-0.659127,0.598699,-0.357910,1.397774,-0.053613,0.761553,-0.871350,0.867241
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.114473,-0.648853,0.574614,-0.359447,1.392795,-0.062748,0.791464,-0.864707,0.848276
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.114317,-0.640807,0.550800,-0.360011,1.385756,-0.071162,0.822503,-0.860200,0.829310
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.113888,-0.635049,0.527385,-0.359669,1.376709,-0.078721,0.854478,-0.857915,0.810345
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.113177,-0.631623,0.504488,-0.358509,1.365717,-0.085304,0.887202,-0.857916,0.791379
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.112170,-0.630554,0.482224,-0.356631,1.352846,-0.090797,0.920497,-0.860241,0.772414
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.110856,-0.631852,0.460700,-0.354144,1.338166,-0.095102,0.954192,-0.864904,0.753448
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.109220,-0.635514,0.440023,-0.351160,1.321750,-0.098134,0.988128,-0.871895,0.734483
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.107251,-0.641531,0.420295,-0.347789,1.303669,-0.099819,1.022158,-0.881174,0.715517
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.104942,-0.649881,0.401618,-0.344137,1.283996,-0.100097,1.056147,-0.892679,0.696552
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.102287,-0.660539,0.384094,-0.340299,1.262803,-0.098918,1.089974,-0.906320,0.677586
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.099284,-0.673473,0.367821,-0.336358,1.240164,-0.096242,1.123530,-0.921985,0.658621
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.095933,-0.688646,0.352896,-0.332384,1.216152,-0.092039,1.156720,-0.939539,0.639655
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.092236,-0.706018,0.339412,-0.328427,1.190842,-0.086289,1.189464,-0.958825,0.620690
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.088199,-0.725543,0.327457,-0.324521,1.164311,-0.078979,1.221689,-0.979665,0.601724
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.083824,-0.747166,0.317109,-0.320683,1.136641,-0.070106,1.253338,-1.001864,0.582759
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.079116,-0.770831,0.308438,-0.316909,1.107914,-0.059680,1.284359,-1.025209,0.563793
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.074076,-0.796471,0.301500,-0.313178,1.078221,-0.047717,1.314709,-1.049474,0.544828
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.068702,-0.824009,0.296339,-0.309455,1.047654,-0.034249,1.344350,-1.074424,0.525862
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.062988,-0.853362,0.292981,-0.305686,1.016315,-0.019318,1.373245,-1.099817,0.506897
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.056920,-0.884433,0.291432,-0.301810,0.984311,-0.002979,1.401359,-1.125407,0.487931
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.050481,-0.917117,0.291682,-0.297751,0.951759,0.014701,1.428652,-1.150955,0.468966
-0.156283,0.886327,-0.020000,-1.396263,-0.000000,0.000000,-0.043644,-0.951293,0.293702,-0.293433,0.918784,0.033643,1.455080,-1.176227,0.450000
