world_joint/x,world_joint/y,world_joint/theta,base_link_z_joint,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.850000,-1.570796,-0.000000,0.069415,-1.189761,0.579138,-0.168826,0.964029,0.159645,1.588156,-1.326589,1.000000
0.000000,0.850000,-1.570796,-0.000000,0.084754,-1.221575,0.573418,-0.158628,0.929814,0.168927,1.625029,-1.343599,0.971053
0.000000,0.850000,-1.570796,-0.000000,0.077536,-1.207461,0.557362,-0.158593,0.934882,0.159589,1.636473,-1.329666,0.942105
0.000000,0.850000,-1.570796,-0.000000,0.072136,-1.196278,0.540689,-0.157236,0.936362,0.151357,1.651860,-1.317047,0.913158
0.000000,0.850000,-1.570796,-0.000000,0.068506,-1.188125,0.523507,-0.154628,0.934180,0.144293,1.671107,-1.305902,0.884211
0.000000,0.850000,-1.570796,-0.000000,0.066596,-1.183128,0.505950,-0.150833,0.928246,0.138472,1.694140,-1.296386,0.855263
0.000000,0.850000,-1.570796,-0.000000,0.066367,-1.181442,0.488172,-0.145912,0.918452,0.133985,1.720901,-1.288645,0.826316
0.000000,0.850000,-1.570796,-0.000000,0.067781,-1.183254,0.470351,-0.139919,0.904666,0.130936,1.751351,-1.282815,0.797368
0.000000,0.850000,-1.570796,-0.000000,0.070808,-1.188787,0.452686,-0.132899,0.886729,0.129453,1.785474,-1.279017,0.768421
0.000000,0.850000,-1.570796,-0.000000,0.075427,-1.198311,0.435400,-0.124878,0.864447,0.129691,1.823292,-1.277353,0.739474
0.000000,0.850000,-1.570796,-0.000000,0.081631,-1.212158,0.418738,-0.115861,0.837578,0.131840,1.864868,-1.277904,0.710526
0.000000,0.850000,-1.570796,-0.000000,0.089435,-1.230742,0.402972,-0.105812,0.805814,0.136149,1.910333,-1.280717,0.681579
0.000000,0.850000,-1.570796,-0.000000,0.098888,-1.254601,0.388401,-0.094639,0.768759,0.142947,1.959901,-1.285800,0.652632
0.000000,0.850000,-1.570796,-0.000000,0.110094,-1.284461,0.375354,-0.082159,0.725889,0.152699,2.013920,-1.293108,0.623684
0.000000,0.850000,-1.570796,-0.000000,0.123251,-1.321360,0.364199,-0.068039,0.676484,0.166089,2.072934,-1.302510,0.594737
0.000000,0.850000,-1.570796,-0.000000,0.138729,-1.366876,0.355357,-0.051684,0.619515,0.184192,2.137811,-1.313745,0.565789
0.000000,0.850000,-1.570796,-0.000000,0.157225,-1.423643,0.349323,-0.031977,0.553416,0.208838,2.210000,-1.326300,0.536842
0.000000,0.850000,-1.570796,-0.000000,0.180206,-1.496724,0.346736,-0.006552,0.475549,0.243572,2.292159,-1.339098,0.507895
0.000000,0.850000,-1.570796,-0.000000,0.211248,-1.597958,0.348381,0.030729,0.381110,0.296424,2.389782,-1.349560,0.478947
0.000000,0.850000,-1.570796,-0.000000,0.264131,-1.772255,0.353169,0.106343,0.261906,0.394207,2.518337,-1.349312,0.450000
