world_joint/x,world_joint/y,world_joint/theta,base_link_z_joint,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.850000,-1.570796,-0.000000,0.040217,-1.057836,0.868272,-0.288588,1.211888,0.291415,1.087132,-1.382855,1.000000
0.000000,0.850000,-1.570796,-0.000000,0.050834,-1.077819,0.855593,-0.282405,1.191253,0.290794,1.116233,-1.392830,0.981034
0.000000,0.850000,-1.570796,-0.000000,0.038562,-1.058576,0.840809,-0.288238,1.204065,0.278518,1.120939,-1.374656,0.962069
0.000000,0.850000,-1.570796,-0.000000,0.027771,-1.040918,0.824746,-0.293058,1.214613,0.266278,1.128874,-1.357007,0.943103
0.000000,0.850000,-1.570796,-0.000000,0.018439,-1.024945,0.807507,-0.296863,1.222818,0.254149,1.139944,-1.340053,0.924138
0.000000,0.850000,-1.570796,-0.000000,0.010543,-1.010765,0.789213,-0.299657,1.228608,0.242215,1.154040,-1.323969,0.905172
0.000000,0.850000,-1.570796,-0.000000,0.004056,-0.998486,0.770002,-0.301445,1.231922,0.230571,1.171042,-1.308925,0.886207
0.000000,0.850000,-1.570796,-0.000000,-0.001048,-0.988222,0.750023,-0.302237,1.232704,0.219320,1.190821,-1.295091,0.867241
0.000000,0.850000,-1.570796,-0.000000,-0.004796,-0.980083,0.729434,-0.302049,1.230916,0.208571,1.213236,-1.282630,0.848276
0.000000,0.850000,-1.570796,-0.000000,-0.007216,-0.974177,0.708403,-0.300905,1.226525,0.198433,1.238144,-1.271698,0.829310
0.000000,0.850000,-1.570796,-0.000000,-0.008333,-0.970608,0.687098,-0.298835,1.219512,0.189021,1.265397,-1.262438,0.810345
0.000000,0.850000,-1.570796,-0.000000,-0.008174,-0.969476,0.665695,-0.295879,1.209866,0.180447,1.294848,-1.254979,0.791379
0.000000,0.850000,-1.570796,-0.000000,-0.006762,-0.970875,0.644366,-0.292080,1.197583,0.172820,1.326350,-1.249436,0.772414
0.000000,0.850000,-1.570796,-0.000000,-0.004121,-0.974893,0.623288,-0.287486,1.182665,0.166249,1.359762,-1.245901,0.753448
0.000000,0.850000,-1.570796,-0.000000,-0.000272,-0.981618,0.602636,-0.282150,1.165118,0.160835,1.394950,-1.244448,0.734483
0.000000,0.850000,-1.570796,-0.000000,0.004766,-0.991134,0.582586,-0.276121,1.144947,0.156679,1.431789,-1.245126,0.715517
0.000000,0.850000,-1.570796,-0.000000,0.010973,-1.003524,0.563312,-0.269446,1.122157,0.153877,1.470163,-1.247959,0.696552
0.000000,0.850000,-1.570796,-0.000000,0.018335,-1.018875,0.544991,-0.262164,1.096750,0.152524,1.509973,-1.252943,0.677586
0.000000,0.850000,-1.570796,-0.000000,0.026841,-1.037276,0.527798,-0.254304,1.068722,0.152716,1.551130,-1.260047,0.658621
0.000000,0.850000,-1.570796,-0.000000,0.036486,-1.058825,0.511908,-0.245876,1.038063,0.154549,1.593566,-1.269209,0.639655
0.000000,0.850000,-1.570796,-0.000000,0.047275,-1.083630,0.497493,-0.236874,1.004753,0.158129,1.637231,-1.280335,0.620690
0.000000,0.850000,-1.570796,-0.000000,0.059224,-1.111817,0.484727,-0.227262,0.968761,0.163570,1.682094,-1.293298,0.601724
0.000000,0.850000,-1.570796,-0.000000,0.072371,-1.143536,0.473776,-0.216973,0.930042,0.171003,1.728152,-1.307937,0.582759
0.000000,0.850000,-1.570796,-0.000000,0.086777,-1.178972,0.464806,-0.205900,0.888533,0.180583,1.775431,-1.324056,0.563793
0.000000,0.850000,-1.570796,-0.000000,0.102544,-1.218364,0.457977,-0.193882,0.844148,0.192501,1.823996,-1.341421,0.544828
0.000000,0.850000,-1.570796,-0.000000,0.119825,-1.262031,0.453445,-0.180692,0.796768,0.207002,1.873960,-1.359762,0.525862
0.000000,0.850000,-1.570796,-0.000000,0.138853,-1.310418,0.451367,-0.166004,0.746230,0.224409,1.925506,-1.378764,0.506897
0.000000,0.850000,-1.570796,-0.000000,0.159981,-1.364171,0.451910,-0.149348,0.692306,0.245166,1.978912,-1.398065,0.487931
0.000000,0.850000,-1.570796,-0.000000,0.183748,-1.424274,0.455263,-0.130025,0.634668,0.269907,2.034611,-1.417242,0.468966
0.000000,0.850000,-1.570796,-0.000000,0.211021,-1.492313,0.461677,-0.106929,0.572837,0.299590,2.093286,-1.435785,0.450000
