world_joint/x,world_joint/y,world_joint/theta,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.000000,0.000000,0.364414,2.408345,-0.117213,3.158952,0.841772,0.212392,1.840132,-0.571462,1.000000
0.000000,0.000000,0.000000,0.363002,2.404738,-0.121860,3.153468,0.837930,0.215264,1.842004,-0.579125,1.000000
0.000000,0.000000,0.000000,0.361647,2.401030,-0.126542,3.147879,0.833955,0.218276,1.843967,-0.586894,1.000000
0.000000,0.000000,0.000000,0.361217,2.399797,-0.128072,3.146039,0.832637,0.219286,1.844624,-0.589449,1.000000
0.000000,0.000000,0.000000,0.360798,2.398554,-0.129602,3.144189,0.831301,0.220316,1.845293,-0.592010,1.000000
0.000000,0.000000,0.000000,0.359988,2.396052,-0.132650,3.140479,0.828603,0.222410,1.846655,-0.597128,1.000000
0.000000,0.000000,0.000000,0.359201,2.393534,-0.135688,3.136761,0.825883,0.224536,1.848035,-0.602246,1.000000
0.000000,0.000000,0.000000,0.358460,2.390988,-0.138711,3.133021,0.823109,0.226727,1.849458,-0.607360,1.000000
0.000000,0.000000,0.000000,0.357093,2.385815,-0.144743,3.125453,0.817403,0.231294,1.852426,-0.617607,1.000000
0.000000,0.000000,0.000000,0.356442,2.383185,-0.147746,3.121652,0.814525,0.233632,1.853936,-0.622753,1.000000
0.000000,0.000000,0.000000,0.355844,2.380531,-0.150725,3.117833,0.811595,0.236040,1.855491,-0.627881,1.000000
0.000000,0.000000,0.000000,0.355283,2.377851,-0.153691,3.113996,0.808629,0.238503,1.857078,-0.633007,1.000000
0.000000,0.000000,0.000000,0.354757,2.375131,-0.156659,3.110121,0.805611,0.241035,1.858705,-0.638159,1.000000
0.000000,0.000000,0.000000,0.354039,2.371004,-0.161077,3.104282,0.801023,0.244937,1.861206,-0.645875,1.000000
0.000000,0.000000,0.000000,0.353214,2.365405,-0.166927,3.096421,0.794775,0.250347,1.864658,-0.656163,1.000000
0.000000,0.000000,0.000000,0.353039,2.363933,-0.168426,3.094369,0.793122,0.251806,1.865585,-0.658818,1.000000
0.000000,0.000000,0.000000,0.352691,2.361076,-0.171330,3.090397,0.789937,0.254620,1.867370,-0.663973,1.000000
0.000000,0.000000,0.000000,0.352550,2.359624,-0.172777,3.088386,0.788303,0.256086,1.868297,-0.666551,1.000000
0.000000,0.000000,0.000000,0.352261,2.356725,-0.175658,3.084385,0.785067,0.258993,1.870132,-0.671700,1.000000
0.000000,0.000000,0.000000,0.351754,2.349295,-0.182833,3.074196,0.776714,0.266665,1.874949,-0.684609,1.000000
0.000000,0.000000,0.000000,0.351444,2.338549,-0.192770,3.059639,0.764639,0.278128,1.882070,-0.702717,1.000000
0.000000,0.000000,0.000000,0.351470,2.333802,-0.196982,3.053284,0.759325,0.283333,1.885268,-0.710492,1.000000
0.000000,0.000000,0.000000,0.351593,2.328972,-0.201162,3.046857,0.753930,0.288719,1.888555,-0.718270,1.000000
0.000000,0.000000,0.000000,0.351732,2.325700,-0.203928,3.042531,0.750293,0.292415,1.890796,-0.723459,1.000000
0.000000,0.000000,0.000000,0.351814,2.324053,-0.205301,3.040363,0.748473,0.294284,1.891924,-0.726053,1.000000
0.000000,0.000000,0.000000,0.352025,2.320665,-0.208085,3.035916,0.744729,0.298171,1.894261,-0.731329,1.000000
0.000000,0.000000,0.000000,0.352283,2.317286,-0.210818,3.031493,0.740994,0.302100,1.896613,-0.736526,1.000000
0.000000,0.000000,0.000000,0.352582,2.313858,-0.213543,3.027025,0.737222,0.306120,1.899008,-0.741739,1.000000
0.000000,0.000000,0.000000,0.352929,2.310392,-0.216249,3.022523,0.733420,0.310230,1.901442,-0.746948,1.000000
0.000000,0.000000,0.000000,0.353538,2.305095,-0.220300,3.015670,0.727626,0.316594,1.905190,-0.754788,1.000000
0.000000,0.000000,0.000000,0.354519,2.297869,-0.225659,3.006375,0.719768,0.325439,1.910350,-0.765251,1.000000
0.000000,0.000000,0.000000,0.355703,2.290461,-0.230940,2.996917,0.711796,0.334694,1.915682,-0.775703,1.000000
0.000000,0.000000,0.000000,0.357103,2.282822,-0.236163,2.987234,0.703677,0.344427,1.921219,-0.786195,1.000000
0.000000,0.000000,0.000000,0.358304,2.276933,-0.240012,2.979824,0.697534,0.352050,1.925493,-0.794100,1.000000
0.000000,0.000000,0.000000,0.359639,2.270915,-0.243826,2.972283,0.691305,0.359972,1.929893,-0.801996,1.000000
0.000000,0.000000,0.000000,0.360617,2.266765,-0.246371,2.967106,0.687070,0.365495,1.932929,-0.807351,1.000000
0.000000,0.000000,0.000000,0.362724,2.258383,-0.251363,2.956683,0.678587,0.376822,1.939096,-0.817938,1.000000
0.000000,0.000000,0.000000,0.365716,2.247521,-0.257487,2.943253,0.667823,0.391823,1.947124,-0.831212,1.000000
0.000000,0.000000,0.000000,0.368426,2.238496,-0.262245,2.932162,0.659149,0.404550,1.953795,-0.841878,1.000000
0.000000,0.000000,0.000000,0.369896,2.233862,-0.264556,2.926488,0.654818,0.411173,1.957210,-0.847235,1.000000
0.000000,0.000000,0.000000,0.370652,2.231527,-0.265690,2.923632,0.652667,0.414526,1.958927,-0.849918,1.000000
0.000000,0.000000,0.000000,0.371441,2.229145,-0.266825,2.920721,0.650491,0.417971,1.960680,-0.852623,1.000000
0.000000,0.000000,0.000000,0.370641,2.231536,-0.265702,2.923642,0.652658,0.414505,1.958923,-0.849917,1.000000
0.000000,0.000000,0.000000,0.371421,2.229182,-0.266824,2.920765,0.650507,0.417910,1.960655,-0.852590,1.000000
0.000000,0.000000,0.000000,0.373056,2.224363,-0.269073,2.914883,0.646140,0.424937,1.964208,-0.857987,1.000000
0.000000,0.000000,0.000000,0.379375,2.206860,-0.276689,2.893564,0.630804,0.450986,1.977109,-0.876953,1.000000
0.000000,0.000000,0.000000,0.383466,2.196346,-0.280801,2.880774,0.622079,0.467040,1.984828,-0.887880,1.000000
